distance_px,intensity_green,trend,envelope
573.000,198.000000,213.995116,16.529514
574.000,198.000000,213.980949,16.532544
575.000,198.428227,213.966681,16.534354
576.000,198.847868,213.952328,16.534959
577.000,199.000000,213.937909,16.534370
578.000,199.000000,213.923440,16.532603
579.000,199.000000,213.908935,16.529673
580.000,199.000000,213.894411,16.525594
581.000,198.515507,213.879882,16.520383
582.000,198.000000,213.865360,16.514057
583.000,198.000000,213.850860,16.506631
584.000,198.112394,213.836393,16.498122
585.000,198.431843,213.821970,16.488547
586.000,199.329942,213.807602,16.477923
587.000,200.058607,213.793298,16.466268
588.000,200.548682,213.779068,16.453597
589.000,201.000000,213.764920,16.439927
590.000,201.508407,213.750861,16.425275
591.000,203.239011,213.736896,16.409656
592.000,204.447638,213.723033,16.393085
593.000,206.208627,213.709275,16.375576
594.000,207.193435,213.695628,16.357144
595.000,208.000000,213.682095,16.337801
596.000,208.163050,213.668678,16.317558
597.000,209.147858,213.655381,16.296428
598.000,210.132666,213.642207,16.274421
599.000,211.000000,213.629157,16.251546
600.000,211.102281,213.616233,16.227812
601.000,212.000000,213.603436,16.203228
602.000,212.071897,213.590767,16.177801
603.000,213.001482,213.578225,16.151539
604.000,213.035388,213.565810,16.124447
605.000,213.687285,213.553520,16.096532
606.000,214.022255,213.541354,16.067799
607.000,215.991871,213.529310,16.038253
608.000,217.135590,213.517386,16.007899
609.000,219.865132,213.505579,15.976740
610.000,220.571541,213.493886,15.944781
611.000,222.144219,213.482305,15.912023
612.000,223.340319,213.470832,15.878471
613.000,225.099211,213.459465,15.844127
614.000,226.211971,213.448200,15.808993
615.000,228.515134,213.437034,15.773071
616.000,229.396610,213.425964,15.736364
617.000,229.531888,213.414987,15.698874
618.000,229.421406,213.404100,15.660602
619.000,229.247758,213.393301,15.621551
620.000,229.014938,213.382586,15.581723
621.000,228.800923,213.371953,15.541119
622.000,228.453626,213.361399,15.499741
623.000,229.612049,213.350920,15.457592
624.000,229.021366,213.340515,15.414673
625.000,228.836742,213.330180,15.370988
626.000,229.000000,213.319912,15.326539
627.000,228.858572,213.309709,15.281329
628.000,228.684924,213.299569,15.235363
629.000,228.834668,213.289488,15.188644
630.000,229.646514,213.279464,15.141178
631.000,229.368678,213.269496,15.092968
632.000,228.986620,213.259582,15.044020
633.000,228.105584,213.249719,14.994341
634.000,226.909416,213.239905,14.943935
635.000,225.898834,213.230141,14.892811
636.000,225.295739,213.220425,14.840975
637.000,225.056141,213.210755,14.788436
638.000,224.475024,213.201132,14.735202
639.000,223.490216,213.191556,14.681282
640.000,223.000000,213.182026,14.626685
641.000,222.520601,213.172544,14.571422
642.000,221.535793,213.163110,14.515504
643.000,220.101971,213.153726,14.458941
644.000,218.659624,213.144391,14.401746
645.000,218.155281,213.135109,14.343932
646.000,217.193124,213.125881,14.285511
647.000,216.000000,213.116707,14.226497
648.000,215.626947,213.107592,14.166906
649.000,215.344151,213.098538,14.106752
650.000,214.883033,213.089546,14.046051
651.000,213.654953,213.080620,13.984820
652.000,214.063147,213.071763,13.923077
653.000,212.000000,213.062978,13.860838
654.000,211.718100,213.054269,13.798122
655.000,210.466585,213.045638,13.734947
656.000,208.955425,213.037088,13.671332
657.000,208.495723,213.028623,13.607296
658.000,207.778869,213.020246,13.542857
659.000,206.856220,213.011960,13.478037
660.000,205.937436,213.003767,13.412855
661.000,204.648892,212.995671,13.347332
662.000,203.000000,212.987674,13.281488
663.000,202.854830,212.979781,13.215345
664.000,202.000000,212.971994,13.148923
665.000,202.000000,212.964316,13.082243
666.000,202.000000,212.956750,13.015325
667.000,201.835617,212.949300,12.948191
668.000,201.000000,212.941967,12.880861
669.000,201.000000,212.934755,12.813356
670.000,200.976383,212.927666,12.745699
671.000,200.194421,212.920702,12.677909
672.000,199.052469,212.913865,12.610009
673.000,199.993247,212.907156,12.542019
674.000,200.000000,212.900577,12.473960
675.000,199.495980,212.894130,12.405854
676.000,199.034024,212.887814,12.337721
677.000,199.000000,212.881631,12.269582
678.000,199.917286,212.875581,12.201456
679.000,200.016755,212.869664,12.133363
680.000,200.886901,212.863880,12.065323
681.000,201.000000,212.858228,11.997356
682.000,201.856517,212.852707,11.929479
683.000,202.000000,212.847317,11.861710
684.000,202.826132,212.842054,11.794068
685.000,203.000000,212.836918,11.726570
686.000,203.795748,212.831905,11.659231
687.000,204.780556,212.827012,11.592068
688.000,205.000000,212.822235,11.525097
689.000,205.000000,212.817571,11.458332
690.000,206.491494,212.813014,11.391787
691.000,207.000000,212.808560,11.325477
692.000,207.000000,212.804203,11.259415
693.000,207.000000,212.799939,11.193615
694.000,208.348420,212.795760,11.128088
695.000,209.000000,212.791662,11.062848
696.000,209.643825,212.787637,10.997906
697.000,210.000000,212.783678,10.933273
698.000,210.613441,212.779779,10.868958
699.000,211.212919,212.775931,10.804973
700.000,212.242103,212.772126,10.741326
701.000,213.000000,212.768355,10.678028
702.000,212.926173,212.764610,10.615087
703.000,213.000000,212.760880,10.552514
704.000,213.000000,212.757157,10.490318
705.000,213.507095,212.753429,10.428506
706.000,214.000000,212.749686,10.367087
707.000,214.000000,212.745919,10.306069
708.000,214.000000,212.742114,10.245459
709.000,214.276464,212.738262,10.185266
710.000,215.115853,212.734350,10.125496
711.000,216.415942,212.730367,10.066157
712.000,216.599250,212.726301,10.007256
713.000,216.771115,212.722140,9.948802
714.000,217.629635,212.717871,9.890803
715.000,217.355173,212.713482,9.833267
716.000,217.660019,212.708961,9.776202
717.000,217.399566,212.704294,9.719619
718.000,218.039069,212.699469,9.663525
719.000,218.328867,212.694473,9.607932
720.000,219.209539,212.689293,9.552850
721.000,219.405440,212.683917,9.498289
722.000,220.023094,212.678331,9.444262
723.000,219.467270,212.672522,9.390780
724.000,220.563115,212.666478,9.337856
725.000,219.406501,212.660186,9.285505
726.000,220.937452,212.653632,9.233740
727.000,220.751974,212.646804,9.182577
728.000,221.854615,212.639689,9.132032
729.000,223.020868,212.632276,9.082120
730.000,223.127289,212.624552,9.032859
731.000,224.112097,212.616504,8.984267
